HASH(0x1d198a8)	HASH(0x1d198b4)	HASH(0x1d198f0)	HASH(0x1d1992c)	HASH(0x1d19968)
''	''	''	HASH(0x1d35438)	''
'-'	'-'	'-'	HASH(0x1d3566c)	'-'
'  Adresse  '	' Address '	'Adresse'	HASH(0x1d358a0)	'Indirizzo'
"      version %0.%1.%2.%3"	"      release %0.%1.%2.%3"	"      version %0.%1.%2.%3"	HASH(0x1d35ad4)	"      versione %0.%1.%2.%3"
" Alarme élémentaire %0"	" First level Alarm %0"	"Alarm Niveau 1 %0"	HASH(0x1d35d08)	" Primo livello di allarme %0"
""	""	""	HASH(0x1d35f3c)	""
"%"	"%"	"%"	HASH(0x1d36170)	"%"
"%0 Bit(s) d'arret"	"%0 Stop bit"	"%0 Stop bit"	HASH(0x1d39f10)	HASH(0x1d39f70)
"%0 Jour(s)"	"%0 Day(s)"	"%0 Tag(e)"	HASH(0x1d3a120)	"%0 Giorni"
"%0 Jour(s), %1 heures"	"%0 Day(s), %1 hours"	"%0 Tag(e), %1 Stunden"	HASH(0x1d3a354)	"%0 Giorni, %1 ore"
"%0 Jour(s), %1 heures, %2 minutes"	"%0 Day(s), %1 hours, %2 minutes"	"%0 Tag(e), %1 Stunden, %2 Minuten"	HASH(0x1d3a588)	"%0 Giorni, %1 ore, %2 minuti"
"%0 Jour(s), %1 heures, %2 minutes, %3 secondes"	"%0 Day(s), %1 hours, %2 minutes, %3 seconds"	"%0 Tag(e), %1 Stunden, %2 Minuten, %3 Sekunden"	HASH(0x1d3a7bc)	"%0 Giorni, %1 ore, %2 minuti, %3 secondi"
"%0 minutes"	"%0 minutes"	"%0 Minuten"	HASH(0x1d3a9f0)	"%0 minuti"
"%0 secondes"	"%0 seconds"	"%0 Sekunden"	HASH(0x1d3ac24)	"%0 secondi"
"%0:%1:%2"	"%0:%1:%2"	"%0:%1:%2"	HASH(0x1d3ae58)	"%0:%1:%2"
"%1 heure(s), %2 minutes, %3 secondes"	"%1 hour(s), %2 minutes, %3 seconds"	"%1 Stunden, %2 Minuten, %3 Sekunden"	HASH(0x1d3dcb0)	"%1 ore, %2 minuti, %3 secondi"
"%1 heures"	"%1 hours"	"%1 Stunden"	HASH(0x1d3dee4)	"%1 ore"
"%1 heures, %2 minutes"	"%1 hours, %2 minutes"	"%1 Stunden, %2 Minuten"	HASH(0x1d3e118)	"%1 ore, %2 minuti"
", "	", "	", "	HASH(0x1d3e34c)	", "
"1 minute"	"1 minute"	"1 Minute"	HASH(0x1d3e580)	"1 minuto"
"1 seconde"	"1 second"	"1 Sekunde"	HASH(0x1d3e7b4)	"1 secondo"
"1"	"1"	"1"	HASH(0x1d3e9e8)	"1"
"100 ms"	"100 ms"	"100 ms"	HASH(0x1d917b8)	"100 ms"
"115200"	"115200"	"115200"	HASH(0x1d919ec)	"115200"
"1200"	"1200"	"1200"	HASH(0x1d91c20)	"1200"
"150 ms"	"150 ms"	"150 ms"	HASH(0x1d91e54)	"150 ms"
"19200"	"19200"	"19200"	HASH(0x1d92088)	"19200"
"2"	"2"	"2"	HASH(0x1d922bc)	"2"
"200 ms"	"200 ms"	"200 ms"	HASH(0x1d924f0)	"200 ms"
"2400"	"2400"	"2400"	HASH(0x1d97420)	"2400"
"250 ms"	"250 ms"	"250 ms"	HASH(0x1d97654)	"250 ms"
"300 ms"	"300 ms"	"300 ms"	HASH(0x1d97888)	"300 ms"
"350 ms"	"350 ms"	"350 ms"	HASH(0x1d97abc)	"350 ms"
"38400"	"38400"	"38400"	HASH(0x1d97cf0)	"38400"
"400 Hz"	"400 Hz"	"400 Hz"	HASH(0x1d97f24)	"400 Hz"
"400 ms"	"400 ms"	"400 ms"	HASH(0x1d98158)	"400 ms"
"450 ms"	"450 ms"	"450 ms"	HASH(0x1d9bef0)	"450 ms"
"4800"	"4800"	"4800"	HASH(0x1d9c124)	"4800"
"50 Hz"	"50 Hz"	"50 Hz"	HASH(0x1d9c358)	"50 Hz"
"50 ms"	"50 ms"	"50 ms"	HASH(0x1d9c58c)	"50 ms"
"500 ms"	"500 ms"	"500 ms"	HASH(0x1d9c7c0)	"500 ms"
"57600"	"57600"	"57600"	HASH(0x1d9c9f4)	"57600"
"60 Hz"	"60 Hz"	"60 Hz"	HASH(0x1d9cc28)	"60 Hz"
"9600"	"9600"	"9600"	HASH(0x1d9ce5c)	"9600"
"A"	"A"	"A"	HASH(0x1d9fbcc)	"A"
"Activation de la version Eset réalisée."	"E.set version activation successful."	"E.set Aktivierung erfolgreich"	HASH(0x1d9fe00)	"Versione E.set attivata con successo"
"Activation de la version Eview réalisée."	"E.view version activation successful."	"E.view Aktivierung erfolgreich"	HASH(0x1da0034)	"Versione E.view attivata con successo"
"Adr Ip : %0, Numéro de port : %1"	"IP Adr : %0, Port number : %1"	"IP Adr : %0, Portnummer : %1"	HASH(0x1da0268)	HASH(0x1da02c8)
"Adr. Esc. : %0, Vitesse : %1, %2, %3 Bit(s) d'arret"	"Slave Adr : %0, Speed : %1, %2, %3 Stop bit"	"Slave Adr : %0, Speed : %1, %2, %3 Stop bit"	HASH(0x1da0478)	"Slave Adr : %0, Speed : %1, %2, %3 Stop bit"
"Adresse esclave : %0"	"Slave address : %0"	HASH(0x1da064c)	HASH(0x1da06ac)	HASH(0x1da070c)
"Adresse mémoire produit invalide"	"Equipment memory address invalid"	"Speicheradresse ungültig"	HASH(0x1da0898)	"Indirizzo di memoria non valido"
"Al E%0"	"Al E%0"	"Al E%0"	HASH(0x1da3750)	"Al E%0"
"Alarme globale %0"	"Global alarm %0"	"Allgemeiner Alarm %0"	HASH(0x1da3984)	"Allarme Globale %0"
"Alarme globale 1"	"Global alarm 1"	"Allgemeiner Alarm 1"	HASH(0x1da3bb8)	"Allarme Globale 1"
"Alarme globale 2"	"Global alarm 2"	"Allgemeiner Alarm 2"	HASH(0x1da3dec)	"Allarme Globale 2"
"Alarme globale 3"	"Global alarm 3"	"Allgemeiner Alarm 3"	HASH(0x1da4020)	"Allarme Globale 3"
"Alarme globale 4"	"Global alarm 4"	"Allgemeiner Alarm 4"	HASH(0x1da4254)	"Allarme Globale 4"
"Alarme globale 5"	"Global alarm 5"	"Allgemeiner Alarm 5"	HASH(0x1da4488)	"Allarme Globale 5"
"Alarme globale 6"	"Global alarm 6"	"Allgemeiner Alarm 6"	HASH(0x1da81f8)	"Allarme Globale 6"
"Alarme globale 7"	"Global alarm 7"	"Allgemeiner Alarm 7"	HASH(0x1da842c)	"Allarme Globale 7"
"Alarme globale 8"	"Global alarm 8"	"Allgemeiner Alarm 8"	HASH(0x1da8660)	"Allarme Globale 8"
"Alarmes"	"Alarms"	"Alarm"	HASH(0x1da8894)	"Allarmi"
"Annulation de la demande en cours"	"Request in progress cancelled"	"Laufende Anfrage abgebrochen"	HASH(0x1da8ac8)	"Richiesta cancellata"
"Appareil inconnu"	"Unknown equipment"	"Unbekannte Einheit"	HASH(0x1da8cfc)	"Apparecchio sconosciuto"
"Appel en cours"	"Dialling in progress"	"Anrufvorgang läuft"	HASH(0x1da8f30)	HASH(0x1da8f90)
"Appuyer sur OK quand vous etes prêt pour continuer l'appel"	"Press OK when ready to keep on dialling"	"OK drücken wenn weiter gewählt werden soll"	HASH(0x1da9140)	HASH(0x1d94a0c)
"Architecture métier"	"Installed base structure"	"Basisarchitektur"	HASH(0x1daf554)	"Installata struttura base"
"Arrêt 50% après synchronisation (50% - 50%)"	"Stop 50% after synchro (50% - 50%)"	"Synchronisation bei 50% stoppen (50% - 50%)"	HASH(0x1daf788)	"Stop 50% dopo la sincronizzazione (50%-50%)"
"Arrêt 75% après synchronisation (25% - 75%)"	"Stop 75% after synchro (25% - 75%)"	"Synchronisation bei 75% stoppen (25% - 75%)"	HASH(0x1daf9bc)	"Stop 75% dopo la sincronizzazione (25%-75%)"
"Arrêt sur buffer plein"	"Stop on buffer full"	"stop wenn Datenpuffer voll"	HASH(0x1dafbf0)	"Arresto per buffer pieno"
"Attente  tonalité carte de credit"	"waiting credit card tone"	"Warten auf Kreditkarten-Tonsignal"	HASH(0x1dafe24)	HASH(0x1dafe84)
"Attente de la seconde tonalité d'appel"	"waiting second dial tone"	"Warten auf zweiten Wählton"	HASH(0x1db0034)	HASH(0x1db0094)
"Attente la reponse de l'appelé"	"Waiting reply from destination"	"Warten auf Antwort des Empfängers"	HASH(0x1db0244)	HASH(0x1db02a4)
"Attente tonalité carte de credit"	"Attente tonalité carte de credit"	"Attente tonalité carte de credit"	HASH(0x1db0454)	"Attente tonalité carte de credit"
"Aucun"	"None"	"Keine"	HASH(0x1db3354)	"Nessuno"
"Aucune énergie"	"No energy"	"Keine Energie"	HASH(0x1db3588)	"Nessuna alimentazione"
"Aucune"	"None"	"Keine"	HASH(0x1db37bc)	"Nessuno"
"Avertissement"	"Warning"	"Warnung"	HASH(0x1db39f0)	"Attenzione"
"Buffer tournant avec arrêt sur synchronisation"	"FIFO mode with synchro stop"	"FIFO Modus mit Synchronisationsstop"	HASH(0x1db3c24)	"Modalità FIFO con stop sincronia"
"Canal inconnu"	"Unknown Channel"	"Unbekannter Kanal"	HASH(0x1db3e58)	"Canale sconosciuto"
"Carte alim. OK"	"Power supply board OK"	"Stromversorgung OK"	HASH(0x1db408c)	"Scheda di alimentazione OK"
"Carte entrée TOR Ok"	"Binary input board OK"	"Binärer Eingang OK"	HASH(0x1db6e9c)	"Scheda ingresso digitale OK"
"Carte ethernet Ok"	"Ethernet board OK"	"Ethernet OK"	HASH(0x1db70d0)	"Scheda ethernet OK"
"Carte ihm Ok"	"MMI board OK"	"MMI OK"	HASH(0x1db7304)	"Scheda MMI OK"
"Carte RS485 Ok"	"RS485 board OK"	"RS 485 OK"	HASH(0x1db7538)	"Scheda RS 485 OK"
"Carte sortie ANA Ok"	"Analog output board OK"	"Analoger Ausgang OK"	HASH(0x1db776c)	"Scheda uscita analogica OK"
"Carte sortie TOR Ok"	"Binary output board OK"	"Binärer Ausgang OK"	HASH(0x1db79a0)	"Scheda uscita digitale OK"
"Cc-TOR1"	"Lc-BIN1"	"Lc-BIN1"	HASH(0x1db7bd4)	"Lc-BIN1"
"Cc-TOR2"	"Lc-BIN2"	"Lc-BIN2"	HASH(0x1dba99c)	"Lc-BIN2"
"Cc-TOR3"	"Lc-BIN3"	"Lc-BIN3"	HASH(0x1dbabd0)	"Lc-BIN3"
"Cc-TOR4"	"Lc-BIN4"	"Lc-BIN4"	HASH(0x1dbae04)	"Lc-BIN4"
"CH fonctionnement"	"HM operating"	"HM in Betrieb"	HASH(0x1dbb038)	"HM funzionante"
"CH présence I"	"HM I presence"	"HM I bereit"	HASH(0x1dbb26c)	"HM I Presenza"
"CH présence V"	"HM V presence"	"HM V bereit"	HASH(0x1dbb4a0)	"HM V Presenza"
"Changement de configuration"	"Change of settings"	"Änderung der Konfiguration"	HASH(0x1dbb6d4)	HASH(0x1dbb734)
"Changement de Date"	"Change of date"	HASH(0x1dbb884)	HASH(0x1dbb8e4)	HASH(0x1dbf510)
"Clef d'activation invalide, saisissez votre code d'activation."	"Invalid activation key, enter your activation key."	"Ungültiger Aktivierungsschlüssel"	HASH(0x1dbf69c)	"Chiave d'attivazione non valida, inserire una chiave valida"
"Code non implémenté"	"Code not implemented"	"Kode nicht erkannt"	HASH(0x1dbf8d0)	"Codice non implementato"
"Commande Stop"	"Stop command"	"Stop-Befehl"	HASH(0x1dbfb04)	HASH(0x1dbfb64)
"Compteur horaire"	"Hours meter"	"Betriebsstundenmesser"	HASH(0x1dbfd14)	"Conta-ore"
"Compteurs horaire"	"Hours meters"	"Betriebsstundenmesser"	HASH(0x1dbff48)	"Conta-ore"
"Configuration"	"Setting"	"Einstellungen"	HASH(0x1dc017c)	"Configurazione"
"Connecté au %0"	"Connected to %0"	"Verbunden mit %0"	HASH(0x1dc03b0)	HASH(0x1dc0410)
"Cos phi 1"	"Cos phi 1"	"Cos phi 1"	HASH(0x1dc5114)	"Cos phi 1"
"Cos phi 2"	"Cos phi 2"	"Cos phi 2"	HASH(0x1dc5348)	"Cos phi 2"
"Cos phi 3"	"Cos phi 3"	"Cos phi 3"	HASH(0x1dc557c)	"Cos phi 3"
"Cos phi t générateur"	"Cos phi t generator"	"Cos phi t Abgabe"	HASH(0x1dc57b0)	"Cos phi t generatore"
"Cos phi t récepteur"	"Cos phi t receiver"	"Cos phi t Bezug"	HASH(0x1dc59e4)	"Cos phi t recevitore"
"Cos phi t"	"Cos phi t"	"Cos phi t"	HASH(0x1dc5c18)	"Cos phi t"
"Cos phi T"	"Cos phi T"	"Cos phi T"	HASH(0x1dc5e4c)	"Cos phi T"
"Cos phi Total"	"Cos phi Total"	"Cos phi Total"	HASH(0x1dc8bfc)	"Cos phi Total"
"Coupure Secteur"	"Auxiliary power interruption"	"Netzunterbrechung"	HASH(0x1dc8e30)	HASH(0x1dc8e90)
